player,elo_Hard,elo_Clay,elo_Grass
a. barrera,1485.1551576802074,1499.2997541373225,1500.0
n. balaji,1485.030031667753,1500.0,1515.0
o. ovcharenko,1485.005734664633,1500.0,1500.0
r. piedra,1485.0,1500.0,1500.0
k. ng,1485.0,1500.0,1500.0
g. osmont,1485.0,1500.0,1500.0
h. kelley,1485.0,1500.0,1500.0
j. cheng,1485.0,1500.0,1500.0
j. flores,1485.0,1500.0,1500.0
m. fanguna,1485.0,1500.0,1500.0
j. statham,1485.0,1500.0,1500.0
g. heide,1485.0,1471.0349030764053,1500.0
y. khalil,1485.0,1500.0,1500.0
k. friberg,1485.0,1500.0,1500.0
p. hjorth,1485.0,1500.0,1500.0
m. song,1485.0,1500.0,1500.0
k. krawietz,1485.0,1500.0,1500.0
g. bueno,1485.0,1500.0,1500.0
h. karmoussi,1485.0,1500.0,1500.0
n. ionel,1485.0,1500.0,1500.0
k. marshall,1485.0,1500.0,1500.0
c. lock,1485.0,1500.0,1500.0
k. chan,1485.0,1500.0,1500.0
r. strombachs,1485.0,1500.0,1500.0
j. loore,1485.0,1500.0,1500.0
b. lock,1485.0,1500.0,1500.0
y. milev,1485.0,1530.0,1500.0
p. chrysochos,1485.0,1500.0,1500.0
m. efstathiou,1485.0,1500.0,1500.0
d. kuzmanov,1485.0,1500.0,1500.0
a. nedic,1485.0,1500.0,1500.0
l. preda,1485.0,1500.0,1500.0
m. shin,1485.0,1500.0,1500.0
c. mitu,1485.0,1500.0,1500.0
l. broady,1484.9959862896512,1500.0,1463.0701379706256
e. butvilas,1484.963417624045,1500.0,1500.0
v. lepchenko,1484.9106601640476,1481.8978606436174,1500.0
o. kumar,1484.8966556760986,1500.0,1500.0
h. dart,1484.8913151685797,1449.4979968836335,1522.8312916248033
m. joint,1484.7705000644007,1500.0,1500.0
v. bielinskyi,1484.6600242895447,1500.0,1500.0
t. tirante,1484.654205933892,1523.873557021756,1500.0
l. pigossi,1484.6210786447273,1465.419747247219,1500.0
a. todoni,1484.5957958996105,1487.021204600701,1500.8555164874913
s. wawrinka,1484.473635846534,1452.6746398710188,1499.6247520070406
e. kalieva,1484.359179556154,1500.0,1500.0
s. vishwakarma,1484.3549799084117,1500.0,1500.0
